,weights,model,gamma_i,a,alpha,var,inclusion_probability,alpha_given_inclusion,mean_trace_a
0,0.000639812521755427,LogReg_50,,,,,,,
1,0.011126087848360184,LogReg_50,,,,,,,
2,-0.009261174527504874,LogReg_50,,,,,,,
3,0.010152762838348579,LogReg_50,,,,,,,
4,-2.064687796458597e-06,LogReg_50,,,,,,,
5,-0.011621209514114784,LogReg_50,,,,,,,
6,0.010100908533531237,LogReg_50,,,,,,,
7,0.002584498954001002,LogReg_50,,,,,,,
8,0.0024966179009792617,LogReg_50,,,,,,,
9,0.008145970699554743,LogReg_50,,,,,,,
10,0.019592800344651464,LogReg_50,,,,,,,
11,-0.04541796666100863,LogReg_50,,,,,,,
12,-0.016196984581425496,LogReg_50,,,,,,,
13,0.008777279266215833,LogReg_50,,,,,,,
14,-0.014387866495971785,LogReg_50,,,,,,,
15,0.008553924748310088,LogReg_50,,,,,,,
16,0.001534688908477434,LogReg_50,,,,,,,
17,0.0014493218647741684,LogReg_50,,,,,,,
18,0.0037163021431954176,LogReg_50,,,,,,,
19,0.011195309300779306,LogReg_50,,,,,,,
20,-0.0010864787683890077,LogReg_50,,,,,,,
21,0.024462362541431894,LogReg_50,,,,,,,
22,-0.19025218978993838,LogReg_50,,,,,,,
23,-0.18747389895594804,LogReg_50,,,,,,,
24,-0.22575148491588737,LogReg_50,,,,,,,
25,0.2010021048073236,LogReg_50,,,,,,,
26,-0.04369479964554014,LogReg_50,,,,,,,
27,-0.09501048395435598,LogReg_50,,,,,,,
28,0.28261489013822483,LogReg_50,,,,,,,
29,0.00676519058733016,LogReg_50,,,,,,,
30,-0.052885935126750445,LogReg_50,,,,,,,
31,0.020584903335421553,LogReg_50,,,,,,,
32,-0.06395710357999156,LogReg_50,,,,,,,
33,0.03489334026900726,LogReg_50,,,,,,,
34,-0.07743462850207551,LogReg_50,,,,,,,
35,0.09587136776623212,LogReg_50,,,,,,,
36,-0.3080423421277759,LogReg_50,,,,,,,
37,-0.030677780300082613,LogReg_50,,,,,,,
38,0.07465814557959669,LogReg_50,,,,,,,
39,-0.08599901147042159,LogReg_50,,,,,,,
40,0.08928349595126954,LogReg_50,,,,,,,
41,-0.6541169505375789,LogReg_50,,,,,,,
42,-0.15666522187504592,LogReg_50,,,,,,,
43,0.016351055100986032,LogReg_50,,,,,,,
44,-0.0169784741219949,LogReg_50,,,,,,,
45,0.017590623312283553,LogReg_50,,,,,,,
46,0.015969132482339235,LogReg_50,,,,,,,
47,-0.016536590725850415,LogReg_50,,,,,,,
48,0.015892181811287792,LogReg_50,,,,,,,
49,0.0906835569813568,LogReg_50,,,,,,,
50,-0.6462673905695839,LogReg_50,,,,,,,
51,-0.15219196360713577,LogReg_50,,,,,,,
52,0.07682456342408314,LogReg_50,,,,,,,
53,-0.6446809079869703,LogReg_50,,,,,,,
54,-0.16684093797227262,LogReg_50,,,,,,,
55,-0.04766250650614791,LogReg_50,,,,,,,
56,0.2210650043154657,LogReg_50,,,,,,,
57,0.08530241042567485,LogReg_50,,,,,,,
58,-0.25018378672818475,LogReg_50,,,,,,,
